Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
02/02/2022 08:35:30 am,0.030,9.613E-4,02/02/2022 08:36:41 am,0.030,-7.599E-4,02/02/2022 08:40:46 am,0.030,1.801E-4,02/02/2022 08:42:21 am,0.030,6.805E-4
02/02/2022 08:35:30 am,0.031,9.125E-4,02/02/2022 08:36:41 am,0.031,-5.188E-5,02/02/2022 08:40:46 am,0.031,-8.209E-4,02/02/2022 08:42:21 am,0.031,0.001
02/02/2022 08:35:30 am,0.032,0.001,02/02/2022 08:36:41 am,0.032,-7.843E-4,02/02/2022 08:40:46 am,0.032,-6.989E-4,02/02/2022 08:42:21 am,0.032,-7.233E-4
02/02/2022 08:35:30 am,0.033,-2.350E-4,02/02/2022 08:36:41 am,0.033,-4.303E-4,02/02/2022 08:40:46 am,0.033,-0.001,02/02/2022 08:42:21 am,0.033,-0.001
02/02/2022 08:35:30 am,0.034,2.777E-4,02/02/2022 08:36:41 am,0.034,-4.913E-4,02/02/2022 08:40:46 am,0.034,-0.001,02/02/2022 08:42:21 am,0.034,3.632E-4
02/02/2022 08:35:30 am,0.035,0.002,02/02/2022 08:36:41 am,0.035,-5.890E-4,02/02/2022 08:40:46 am,0.035,-1.373E-4,02/02/2022 08:42:21 am,0.035,-7.629E-5
02/02/2022 08:35:30 am,0.036,0.001,02/02/2022 08:36:41 am,0.036,-4.181E-4,02/02/2022 08:40:46 am,0.036,5.096E-4,02/02/2022 08:42:21 am,0.036,6.805E-4
02/02/2022 08:35:30 am,0.037,5.829E-4,02/02/2022 08:36:41 am,0.037,9.613E-4,02/02/2022 08:40:46 am,0.037,8.392E-4,02/02/2022 08:42:21 am,0.037,0.002
02/02/2022 08:35:30 am,0.038,2.289E-4,02/02/2022 08:36:41 am,0.038,-0.001,02/02/2022 08:40:46 am,0.038,5.707E-4,02/02/2022 08:42:21 am,0.038,0.001
02/02/2022 08:35:30 am,0.039,-5.524E-4,02/02/2022 08:36:41 am,0.039,5.798E-5,02/02/2022 08:40:46 am,0.039,5.829E-4,02/02/2022 08:42:21 am,0.039,0.002
02/02/2022 08:35:30 am,0.040,-3.326E-4,02/02/2022 08:36:41 am,0.040,5.219E-4,02/02/2022 08:40:46 am,0.040,3.265E-4,02/02/2022 08:42:21 am,0.040,0.002
02/02/2022 08:35:30 am,0.041,8.759E-4,02/02/2022 08:36:41 am,0.041,5.463E-4,02/02/2022 08:40:46 am,0.041,8.514E-4,02/02/2022 08:42:21 am,0.041,0.001
02/02/2022 08:35:30 am,0.042,4.120E-4,02/02/2022 08:36:41 am,0.042,-1.373E-4,02/02/2022 08:40:46 am,0.042,-6.256E-4,02/02/2022 08:42:21 am,0.042,0.002
02/02/2022 08:35:30 am,0.043,5.829E-4,02/02/2022 08:36:41 am,0.043,0.002,02/02/2022 08:40:46 am,0.043,-9.918E-4,02/02/2022 08:42:21 am,0.043,8.148E-4
02/02/2022 08:35:30 am,0.044,-8.331E-4,02/02/2022 08:36:41 am,0.044,-3.204E-4,02/02/2022 08:40:46 am,0.044,0.001,02/02/2022 08:42:21 am,0.044,0.001
02/02/2022 08:35:30 am,0.045,-5.188E-5,02/02/2022 08:36:41 am,0.045,-6.622E-4,02/02/2022 08:40:46 am,0.045,-4.425E-4,02/02/2022 08:42:21 am,0.045,8.514E-4
02/02/2022 08:35:30 am,0.046,5.707E-4,02/02/2022 08:36:41 am,0.046,1.678E-4,02/02/2022 08:40:46 am,0.046,0.001,02/02/2022 08:42:21 am,0.046,2.655E-4
02/02/2022 08:35:30 am,0.047,3.876E-4,02/02/2022 08:36:41 am,0.047,0.002,02/02/2022 08:40:46 am,0.047,6.683E-4,02/02/2022 08:42:21 am,0.047,4.608E-4
02/02/2022 08:35:30 am,0.048,-5.646E-4,02/02/2022 08:36:41 am,0.048,0.002,02/02/2022 08:40:46 am,0.048,0.001,02/02/2022 08:42:21 am,0.048,0.001
