Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.028,1.1E-6,04/23/2024 01:21:47 pm,0.028,1.0E-6,04/23/2024 01:21:57 pm,0.028,1.2E-6,04/23/2024 01:22:05 pm,0.028,1.2E-6
04/23/2024 01:21:35 pm,0.029,9.6E-7,04/23/2024 01:21:47 pm,0.029,9.7E-7,04/23/2024 01:21:57 pm,0.029,9.9E-7,04/23/2024 01:22:05 pm,0.029,1.1E-6
04/23/2024 01:21:35 pm,0.030,8.9E-7,04/23/2024 01:21:47 pm,0.030,1.1E-6,04/23/2024 01:21:57 pm,0.030,1.1E-6,04/23/2024 01:22:05 pm,0.030,1.2E-6
04/23/2024 01:21:35 pm,0.031,1.0E-6,04/23/2024 01:21:47 pm,0.031,1.3E-6,04/23/2024 01:21:57 pm,0.031,1.1E-6,04/23/2024 01:22:05 pm,0.031,1.2E-6
04/23/2024 01:21:35 pm,0.032,9.7E-7,04/23/2024 01:21:47 pm,0.032,1.2E-6,04/23/2024 01:21:57 pm,0.032,1.1E-6,04/23/2024 01:22:05 pm,0.032,1.3E-6
04/23/2024 01:21:35 pm,0.033,1.0E-6,04/23/2024 01:21:47 pm,0.033,1.3E-6,04/23/2024 01:21:57 pm,0.033,1.0E-6,04/23/2024 01:22:05 pm,0.033,1.2E-6
04/23/2024 01:21:35 pm,0.034,1.0E-6,04/23/2024 01:21:47 pm,0.034,1.2E-6,04/23/2024 01:21:57 pm,0.034,1.2E-6,04/23/2024 01:22:05 pm,0.034,1.3E-6
04/23/2024 01:21:35 pm,0.035,9.8E-7,04/23/2024 01:21:47 pm,0.035,1.2E-6,04/23/2024 01:21:57 pm,0.035,1.1E-6,04/23/2024 01:22:05 pm,0.035,1.3E-6
04/23/2024 01:21:35 pm,0.036,9.8E-7,04/23/2024 01:21:47 pm,0.036,1.0E-6,04/23/2024 01:21:57 pm,0.036,1.1E-6,04/23/2024 01:22:05 pm,0.036,1.3E-6
04/23/2024 01:21:35 pm,0.037,1.1E-6,04/23/2024 01:21:47 pm,0.037,1.1E-6,04/23/2024 01:21:57 pm,0.037,1.0E-6,04/23/2024 01:22:05 pm,0.037,1.3E-6
04/23/2024 01:21:35 pm,0.038,9.9E-7,04/23/2024 01:21:47 pm,0.038,1.3E-6,04/23/2024 01:21:57 pm,0.038,1.3E-6,04/23/2024 01:22:05 pm,0.038,1.3E-6
04/23/2024 01:21:35 pm,0.039,1.0E-6,04/23/2024 01:21:47 pm,0.039,1.2E-6,04/23/2024 01:21:57 pm,0.039,1.3E-6,04/23/2024 01:22:05 pm,0.039,1.1E-6
04/23/2024 01:21:35 pm,0.040,1.0E-6,04/23/2024 01:21:47 pm,0.040,1.2E-6,04/23/2024 01:21:57 pm,0.040,1.3E-6,04/23/2024 01:22:05 pm,0.040,1.1E-6
04/23/2024 01:21:35 pm,0.041,1.1E-6,04/23/2024 01:21:47 pm,0.041,1.2E-6,04/23/2024 01:21:57 pm,0.041,1.2E-6,04/23/2024 01:22:05 pm,0.041,1.0E-6
04/23/2024 01:21:35 pm,0.042,8.6E-7,04/23/2024 01:21:47 pm,0.042,1.2E-6,04/23/2024 01:21:57 pm,0.042,1.1E-6,04/23/2024 01:22:05 pm,0.042,1.0E-6
